pincode,city,latitude,longitude,state
122506,Gurugram,28.4467960,76.8256920,
122506,Gurugram,NA,NA,
122504,Gurugram,28.4670150,77.0811980,
122502,Gurugram,28.2929810,76.6972540,
122414,Gurugram,28.2717330,76.7408670,
122414,Gurugram,28.2717330,76.7408670,
122414,Gurugram,28.2717330,76.7408670,
122004,Gurugram,28.4138870,76.9931945,
122503,Gurugram,28.3257280,76.7778110,
122006,Gurugram,28.4855613,77.0090560,
122103,Gurugram,28.2484590,77.0658020,
122103,Gurugram,28.2484590,77.0658020,
421603,Thane,19.5524000,73.7624000,
421402,Thane,19.3504000,73.6022000,
421602,Thane,19.6451000,73.4743000,
421602,Thane,19.6451000,73.4743000,
421602,Thane,19.692174999999999,73.391367000000002,
421605,Thane,19.2412101,73.1290506,
421605,Thane,19.2953882,73.2033114,
421401,Thane,19.2284600,73.3872000,
421401,Thane,19.2514870,73.3878870,
421401,Thane,19.2514870,73.3878870,
421401,Thane,19.390698,73.658716999999996,
421505,Thane,19.189504100000001,73.2160674,
421103,Thane,19.2748239,73.2909451,
421103,Thane,19.2412071,73.1290536,
421601,Thane,19.5101000,73.3469500,
421601,Thane,19.3371672,73.3074868,
421601,Thane,19.5101000,73.3469500,
421601,Thane,19.5007000,73.4153000,
421601,Thane,19.4558186,73.3264366,
421601,Thane,19.6959000,72.7153000,
421601,Thane,19.4558196,73.3264356,
421601,Thane,19.4063340,73.2617808,
421601,Thane,19.539458,73.588155,
421302,Thane,19.2103751,73.0464259,
421302,Thane,19.2983665,72.9837873,
421302,Thane,19.2715424,72.9645983,
421302,Thane,19.2812637,73.0482822,
421302,Thane,19.2812607,73.0482852,
421302,Thane,19.285284999999998,73.110045,
421101,Thane,19.429763000000001,73.190460000000002,
401101,Thane,19.2982232,72.8245750,
401106,Thane,19.2921940,72.7895065,
462030,Bhopal,23.2200000,77.2000000,
463106,Bhopal,23.6300000,77.4500000,
462101,Bhopal,23.5000000,77.3700000,
462101,Bhopal,23.4500000,77.4500000,
462101,Bhopal,23.7100000,77.3000000,
463111,Bhopal,23.6400000,77.5700000,
463111,Bhopal,23.6800000,77.5200000,
463111,Bhopal,23.7200000,77.4800000,
462038,Bhopal,23.3500000,77.4200000,
462120,Bhopal,23.8100000,77.2400000,
462120,Bhopal,23.869306999999999,77.357166000000007,
462120,Bhopal,23.761064000000001,77.206024999999997,
462120,Bhopal,23.659033000000001,77.29271,
462120,Bhopal,23.776686000000002,77.416094000000001,
462010,Bhopal,23.350000000000001,77.489999999999995,
462010,Bhopal,23.340128060000001,77.344973089999996,
462042,Bhopal,23.1000000,77.4400000,
452016,Indore,20.676179000000001,77.053567999999999,
452016,Indore,22.719569,75.857726,
453001,Indore,22.6740510,75.6831470,
453115,Indore,22.8500110,75.5499890,
453115,Indore,22.8561690,75.6520430,
453220,Indore,22.9718780,75.5957090,
453220,Indore,23.0052500,75.5293600,
453220,Indore,22.4282840,75.5363920,
453220,Indore,23.0672600,75.6033500,
452020,Indore,22.6815790,80.5827270,
452020,Indore,22.6199830,76.1124250,
452020,Indore,22.5982320,75.9938540,
452020,Indore,22.6160990,75.9528560,
453771,Indore,22.8893130,75.9521300,
453552,Indore,40.2350420,74.7312770,
453552,Indore,22.4526010,75.9419690,
453441,Indore,22.5244640,75.6942590,
453441,Indore,22.397518999999999,75.785353999999998,
453331,Indore,22.7379890,75.5684250,
453331,Indore,50.1218010,19.0200020,
453551,Indore,18.5026020,73.8013130,
453552,Indore,22.445768999999999,76.079763999999997,
441108,Nagpur,20.7691740,78.9599350,
441108,Nagpur,20.9103360,79.1084410,
441108,Nagpur,20.7325560,79.0878060,
441108,Nagpur,21.2311430,78.6249780,
441122,Nagpur,20.9608360,78.9631160,
441122,Nagpur,20.9138630,78.9472090,
440023,Nagpur,21.0129320,78.7334500,
440023,Nagpur,21.1201660,78.7440780,
441201,Nagpur,34.0243880,117.7254000,
441201,Nagpur,41.6133450,83.7039780,
441201,Nagpur,20.8570900,79.5736890,
441301,Nagpur,21.4117490,78.4531700,
441501,Nagpur,40.4245150,3.7155550,
441501,Nagpur,19.7157640,79.2197380,
441501,Nagpur,21.2149200,78.5217150,
441404,Nagpur,21.539999999999999,80.180000000000007,
441401,Nagpur,21.5841370,79.3718980,
441401,Nagpur,21.3968390,79.2627340,
441101,Nagpur,21.4661090,78.9945690,
441101,Nagpur,21.3902040,79.0030490,
441101,Nagpur,21.433571000000001,79.000313000000006,
441202,Nagpur,26.069561,73.827202999999997,
441202,Nagpur,19.835549,74.054247000000004,
441202,Nagpur,37.441732999999999,122.17128,
441202,Nagpur,45.887740000000001,87.204581000000005,
441202,Nagpur,21.085775999999999,79.224320000000006,
441210,Nagpur,20.9335960,79.5789570,
441210,Nagpur,20.8088060,80.1491380,
441104,Nagpur,21.089829000000002,79.340219000000005,
441104,Nagpur,21.090741000000001,79.065326999999996,
441104,Nagpur,21.187795999999999,79.289861000000002,
441502,Nagpur,41.1000070,84.2236270,
441304,Nagpur,21.4072610,78.4890460,
441105,Nagpur,21.408631,79.109322000000006,
441113,Nagpur,21.2957080,79.0770160,
441113,Nagpur,21.3547620,78.9896220,
441106,Nagpur,21.3355990,79.3866790,
441107,Nagpur,18.9890840,76.1805470,
441306,Nagpur,19.6220400,81.6555610,
441214,Nagpur,20.414655,78.362955999999997,
441214,Nagpur,20.731328999999999,79.190366999999995,
441204,Nagpur,21.1577790,79.1461590,
441204,Nagpur,21.0364830,79.1709750,
441204,Nagpur,21.0194450,79.2049310,
441203,Nagpur,20.6542460,79.3388110,
441203,Nagpur,20.6531240,79.2912700,
441203,Nagpur,20.8308610,79.3784090,
441203,Nagpur,21.1719050,79.2024630,
441203,Nagpur,20.8497030,79.3617220,
411033,Pune,NA,NA,
